tx	gene_id	RAP10_146_Schizocladia_ischiensis_imm_mat_Thalli_1_T1	RAP10_147_Schizocladia_ischiensis_imm_mat_Thalli_2_T1	RAP10_148_Schizocladia_ischiensis_imm_mat_Thalli_3_T1	RAP9_140_Schizocladia_ischiensis_immmatThalli_1_T1	RAP9_141_Schizocladia_ischiensis_immmatThalli_2_T1	RAP9_142_Schizocladia_ischiensis_immmatThalli_3_T1
mRNA_S-ischiensis_contig1.666.1	nbisL1-mrna-7617	26.803392	21.227375	16.552151	37.813625	34.838752	38.753927
mRNA_S-ischiensis_contig1.667.1	nbisL1-mrna-3051	18.083946	16.553366	21.298264	14.97528	11.750895	12.484595
mRNA_S-ischiensis_contig1.668.1	nbisL1-mrna-7618	2.115263	3.447276	0.869819	5.399061	5.424591	2.583495
mRNA_S-ischiensis_contig1.669.1	nbisL1-mrna-7619	2.221039	3.716508	0	2.920854	0.598082	3.214459
mRNA_S-ischiensis_contig1.670.1	nbisL1-mrna-15884	313.90275	256.663912	310.350003	280.187865	247.563212	318.475246
mRNA_S-ischiensis_contig1.671.1	nbisL1-mrna-15885	34.167798	29.400512	35.268173	24.844507	22.887333	29.140402
mRNA_S-ischiensis_contig1.672.1	nbisL1-mrna-7620	0	0	0.729584	0	0.586808	0.525675
mRNA_S-ischiensis_contig1.673.1	nbisL1-mrna-15886	21.837267	18.172534	25.719457	20.899999	18.766147	23.461654
mRNA_S-ischiensis_contig1.674.1	nbisL1-mrna-7621	10.11027	10.443879	7.64492	11.6777	8.372685	6.057355
mRNA_S-ischiensis_contig1.675.1	nbisL1-mrna-3052	11.029925	4.801453	13.760297	11.284068	9.765315	9.080331
mRNA_S-ischiensis_contig1.676.1	nbisL1-mrna-3053	27.848015	19.843512	28.16348	33.214375	25.279595	34.800111
mRNA_S-ischiensis_contig1.677.1	nbisL1-mrna-3054	18.497053	17.716896	15.331665	22.809036	23.040489	21.536445
mRNA_S-ischiensis_contig1.678.1	nbisL1-mrna-3055	22.930771	19.317201	16.403634	18.97611	18.611626	13.390245
mRNA_S-ischiensis_contig1.679.1	nbisL1-mrna-15887	44.865386	51.393311	46.125154	45.91762	46.53143	48.212117
mRNA_S-ischiensis_contig1.680.1	nbisL1-mrna-3056	19.979393	21.810476	26.83612	18.97714	14.673197	18.525254
mRNA_S-ischiensis_contig1.681.1	nbisL1-mrna-15888	26.337249	28.979152	28.398618	22.169106	25.337595	16.772044
mRNA_S-ischiensis_contig1.682.1	nbisL1-mrna-7622	35.523167	41.559411	39.903676	23.274796	20.741812	18.475006
mRNA_S-ischiensis_contig1.683.1	nbisL1-mrna-3057	68.078697	73.423093	80.84446	49.92721	51.240678	48.021826
mRNA_S-ischiensis_contig1.684.1	nbisL1-mrna-15889	67.158635	68.659344	69.193134	62.749328	62.968985	66.678737
mRNA_S-ischiensis_contig1.685.1	nbisL1-mrna-3058	33.123693	33.016712	20.649388	25.823968	22.665482	19.631521
mRNA_S-ischiensis_contig1.686.1	nbisL1-mrna-15890	36.756792	38.183359	27.914273	41.61114	42.026836	34.444394
mRNA_S-ischiensis_contig1.687.1	nbisL1-mrna-15891	69.923507	70.243821	55.886444	60.716478	67.936788	47.072773
mRNA_S-ischiensis_contig1.688.1	nbisL1-mrna-3059	12.590054	17.758811	28.508689	20.19136	21.808446	20.505785
mRNA_S-ischiensis_contig1.689.1	nbisL1-mrna-15892	18.404016	17.04023	16.38328	16.696576	17.448299	16.486068
mRNA_S-ischiensis_contig1.690.1	nbisL1-mrna-15893	5.332484	4.387041	4.5995	8.375193	5.161069	6.129604
mRNA_S-ischiensis_contig1.691.1	nbisL1-mrna-15894	5.81421	6.337506	0	5.579334	0	1.687295
mRNA_S-ischiensis_contig1.692.1	nbisL1-mrna-7623	12.09922	9.987925	13.214361	9.113629	9.668417	10.736089
mRNA_S-ischiensis_contig1.693.1	nbisL1-mrna-15895	66.787597	61.588802	68.063367	64.793301	64.440675	69.373462
mRNA_S-ischiensis_contig1.694.1	nbisL1-mrna-15896	91.38241	71.073078	94.751298	97.217575	82.272505	105.615477
mRNA_S-ischiensis_contig1.695.1	nbisL1-mrna-15897	17.795208	19.441477	23.520268	17.689319	16.409035	20.122625
mRNA_S-ischiensis_contig1.696.1	nbisL1-mrna-15898	7.566088	6.780856	6.794759	9.1097	10.222257	8.977528
mRNA_S-ischiensis_contig1.697.1	nbisL1-mrna-15899	197.475083	185.875193	231.102878	172.11487	178.380047	217.955688
mRNA_S-ischiensis_contig1.698.1	nbisL1-mrna-15900	33.807276	35.317126	35.082602	39.992253	35.136558	39.705724
mRNA_S-ischiensis_contig1.699.1	nbisL1-mrna-15901	49.817541	44.218035	42.72661	45.863226	48.356162	37.660946
mRNA_S-ischiensis_contig1.700.1	nbisL1-mrna-15902	17.176485	16.833278	17.273654	20.166519	22.281576	19.058047
mRNA_S-ischiensis_contig1.701.1	nbisL1-mrna-7624	1.143909	7.543044	5.773972	7.885418	5.037302	4.950253
mRNA_S-ischiensis_contig1.702.1	nbisL1-mrna-15903	19.319936	14.137439	17.677343	11.769996	14.115137	13.166173
mRNA_S-ischiensis_contig1.703.1	nbisL1-mrna-7625	42.710961	36.388772	27.846668	27.797289	23.888454	23.241548
mRNA_S-ischiensis_contig1.704.1	nbisL1-mrna-15904	13.175312	21.127895	20.775695	32.988694	41.9763	27.956116
mRNA_S-ischiensis_contig1.705.1	nbisL1-mrna-7626	49.192634	49.541378	42.85008	79.629306	83.97227	84.888903
mRNA_S-ischiensis_contig1.706.1	nbisL1-mrna-15905	9.732635	9.423871	9.305645	10.031779	10.619829	11.375774
