tx	gene_id	Scytosiphon_promiscuus_A_RNAseq_ScytoA	Scytosiphon_promiscuus_asm6_male_RNAseq_ScytoM_rep1	Scytosiphon_promiscuus_B_RNAseq_ScytoB	Scytosiphon_promiscuus_C_RNAseq_ScytoC	Scytosiphon_promiscuus_D_RNAseq_ScytoD	Scytosiphon_promiscuus_mrf5_female_RNAseq_ScytoF_rep1
mRNA_S-promiscuus_M_contig11.1673.1	nbisL1-mrna-11533	51.440818	42.045245	36.537772	37.208433	33.163097	45.156917
mRNA_S-promiscuus_M_contig11.1672.1	nbisL1-mrna-11534	33.692335	25.984172	21.197861	26.714817	24.818666	33.228844
mRNA_S-promiscuus_M_contig11.1671.1	nbisL1-mrna-11535	41.105921	16.917058	14.294592	19.502599	46.193486	36.639849
mRNA_S-promiscuus_M_contig11.1670.1	nbisL1-mrna-11536	47.505588	19.248233	16.229762	22.167342	37.4515	60.380062
mRNA_S-promiscuus_M_contig11.1669.1	nbisL1-mrna-11537	69.007941	35.772196	34.840262	41.17869	55.644749	70.141254
mRNA_S-promiscuus_M_contig11.1668.1	nbisL1-mrna-11538	1.428993	1.549615	0.791419	2.98614	3.371398	0.657172
mRNA_S-promiscuus_M_contig11.1667.1	nbisL1-mrna-11539	1.187365	1.167375	0.930133	0.959331	1.189943	1.516067
mRNA_S-promiscuus_M_contig11.1666.1	nbisL1-mrna-11540	0.704852	0.183315	0.564731	0.42436	0.599441	1.18171
mRNA_S-promiscuus_M_contig11.1665.1	nbisL1-mrna-11541	8.268082	8.416204	7.179965	13.047867	9.009179	10.671847
mRNA_S-promiscuus_M_contig11.1664.1	nbisL1-mrna-11542	1254.845426	1418.79069	153.651047	1621.902018	166.328299	153.906625
mRNA_S-promiscuus_M_contig11.1663.1	nbisL1-mrna-11543	76.43668	58.100515	15.998536	57.243617	17.912981	23.831479
mRNA_S-promiscuus_M_contig11.1662.1	nbisL1-mrna-11544	6.010746	11.783513	6.353754	14.529883	5.4289	1.487648
mRNA_S-promiscuus_M_contig11.1661.1	nbisL1-mrna-11545	18.436821	17.951745	6.16742	24.276864	7.535796	6.689032
mRNA_S-promiscuus_M_contig11.1660.1	nbisL1-mrna-11546	14.969664	8.89185	3.410163	19.024949	2.905219	5.10403
mRNA_S-promiscuus_M_contig11.1659.1	nbisL1-mrna-11547	18.04276	16.448826	0	16.251203	0	0.108848
mRNA_S-promiscuus_M_contig11.1658.1	nbisL1-mrna-11548	10.141763	7.002972	5.68771	8.321265	6.527055	8.228759
mRNA_S-promiscuus_M_contig11.1657.1	nbisL1-mrna-11549	0.210767	0.662662	0	0	0	0
mRNA_S-promiscuus_M_contig11.1656.1	nbisL1-mrna-11550	24.93317	20.302677	13.014304	24.972513	14.899479	12.442474
mRNA_S-promiscuus_M_contig11.1655.1	nbisL1-mrna-11551	3.205327	5.437471	3.774296	1.154161	1.086356	3.636234
mRNA_S-promiscuus_M_contig11.1654.1	nbisL1-mrna-11552	27.361156	28.352411	26.477144	23.256742	12.722413	33.738653
mRNA_S-promiscuus_M_contig11.1653.1	nbisL1-mrna-11553	23.814624	23.798262	20.676035	22.674249	22.61701	23.985792
mRNA_S-promiscuus_M_contig11.1652.1	nbisL1-mrna-11554	72.977612	77.010419	85.738659	77.378043	89.695783	91.448937
mRNA_S-promiscuus_M_contig11.1651.1	nbisL1-mrna-11555	44.992327	45.64166	130.507219	54.938537	128.242273	137.486324
mRNA_S-promiscuus_M_contig11.1650.1	nbisL1-mrna-11556	3.432578	1.409876	6.989165	2.681609	6.914127	7.817417
mRNA_S-promiscuus_M_contig11.1649.1	nbisL1-mrna-11557	7.896512	8.581509	7.690412	4.136871	8.18519	6.865611
mRNA_S-promiscuus_M_contig11.1648.1	nbisL1-mrna-11558	1.687422	2.356807	17.210651	1.728224	13.526368	17.396633
mRNA_S-promiscuus_M_contig11.1647.1	nbisL1-mrna-11559	0	0	0	0	0	0
mRNA_S-promiscuus_M_contig11.1646.1	nbisL1-mrna-11560	1.823671	1.135283	1.50234	0.638541	1.09565	1.767669
mRNA_S-promiscuus_M_contig11.1645.1	nbisL1-mrna-11561	24.098658	26.843199	26.328996	27.626115	30.064859	30.250027
mRNA_S-promiscuus_M_contig11.1644.1	nbisL1-mrna-11562	40.437288	42.769982	56.078255	41.57505	52.726593	40.598769
mRNA_S-promiscuus_M_contig11.1643.1	nbisL1-mrna-11563	8.730174	10.350322	12.661512	11.812848	10.715047	13.884981
mRNA_S-promiscuus_M_contig11.1642.1	nbisL1-mrna-11564	35.651546	44.828795	115.56315	48.764945	92.582817	83.208363
mRNA_S-promiscuus_M_contig11.1641.1	nbisL1-mrna-11565	13.106562	16.339142	12.058482	10.767953	11.048809	10.376573
mRNA_S-promiscuus_M_contig11.1640.1	nbisL1-mrna-11566	0.307468	0.328833	0.634114	0.666273	1.254204	1.170865
mRNA_S-promiscuus_M_contig11.1639.1	nbisL1-mrna-11567	3.528026	3.264596	0.629767	1.417525	0.952869	1.888951
mRNA_S-promiscuus_M_contig11.1637.1	nbisL1-mrna-11568	3.792382	2.993108	2.506502	4.158514	4.380065	3.653479
mRNA_S-promiscuus_M_contig11.1638.1	nbisL1-mrna-11569	0.04897	0	0	0	0	0
mRNA_S-promiscuus_M_contig11.1636.1	nbisL1-mrna-11570	9.660765	9.263777	1.529269	7.276356	1.983364	3.201566
mRNA_S-promiscuus_M_contig11.1635.1	nbisL1-mrna-11571	24.329627	12.893523	6.845135	14.849957	9.507025	12.027672
mRNA_S-promiscuus_M_contig11.1634.1	nbisL1-mrna-11572	6.086297	5.227538	8.877047	5.404763	8.991283	11.867536
mRNA_S-promiscuus_M_contig11.1633.1	nbisL1-mrna-11573	12.849482	7.77885	12.503413	8.235778	18.806655	24.097791
mRNA_S-promiscuus_M_contig11.1632.1	nbisL1-mrna-11574	9.783437	10.079835	7.19794	1.945031	7.42487	12.924331
mRNA_S-promiscuus_M_contig11.1631.1	nbisL1-mrna-11575	2.161464	1.113987	0.857924	0.859592	1.416632	2.154128
mRNA_S-promiscuus_M_contig11.1584.1	nbisL1-mrna-11576	57.747667	47.731828	30.200425	56.944097	55.576908	43.890226
