tx	gene_id	Desmarestia_herbacea_female_SxS46_RNAseq_DesmaF1_rep1	Desmarestia_herbacea_female_SxS46_RNAseq_DesmaF3_rep3	Desmarestia_herbacea_female_SxS46_RNAseq_DesmaF4_rep4	Desmarestia_herbacea_male_SxS47_RNAseq_DesmaM2_rep2	Desmarestia_herbacea_male_SxS47_RNAseq_DesmaM3_rep3	Desmarestia_herbacea_male_SxS47_RNAseq_DesmaM4_rep4
mRNA_D-herbacea_M_contig2.4907.1	nbisL1-mrna-9647	2.261261	4.425013	2.194326	1.099496	2.50721	1.755827
mRNA_D-herbacea_M_contig2.4906.1	nbisL1-mrna-9648	3.16201	2.810472	3.873261	0.436753	2.020558	1.606461
mRNA_D-herbacea_M_contig2.4905.1	nbisL1-mrna-9649	3.840456	5.321368	3.07877	1.239359	4.229564	2.033531
mRNA_D-herbacea_M_contig2.4904.1	nbisL1-mrna-9650	3.405598	2.489136	3.114197	3.459364	2.824731	1.10675
mRNA_D-herbacea_M_contig2.4903.1	nbisL1-mrna-9651	5.270403	9.676658	5.897935	2.849312	1.653395	1.750408
mRNA_D-herbacea_M_contig2.4902.1	nbisL1-mrna-9652	2.696634	5.955347	3.298714	0	1.111225	1.745519
mRNA_D-herbacea_M_contig2.4901.1	nbisL1-mrna-9653	4.86323	7.815089	11.360482	2.721234	7.648351	2.575097
mRNA_D-herbacea_M_contig2.4900.1	nbisL1-mrna-9654	5.393267	3.970231	4.948071	1.842957	3.333675	3.491039
mRNA_D-herbacea_M_contig2.4899.1	nbisL1-mrna-9655	2.796794	6.216276	4.21008	1.053727	1.843145	2.922286
mRNA_D-herbacea_M_contig2.4898.1	nbisL1-mrna-9656	4.633851	6.613604	7.31026	2.736835	3.236771	1.91661
mRNA_D-herbacea_M_contig2.4897.1	nbisL1-mrna-9657	0	0	0	0	0	0
mRNA_D-herbacea_M_contig2.4896.1	nbisL1-mrna-9658	0	0	0	0	0	0
mRNA_D-herbacea_M_contig2.4895.1	nbisL1-mrna-9659	0	0	0	0	0	0
mRNA_D-herbacea_M_contig2.4894.1	nbisL1-mrna-9660	22.062564	18.009548	21.810979	7.028602	12.142707	5.01449
mRNA_D-herbacea_M_contig2.4893.1	nbisL1-mrna-9661	27.306226	34.863341	26.202949	13.509067	16.090974	12.799757
mRNA_D-herbacea_M_contig2.4892.1	nbisL1-mrna-9662	27.601574	39.320891	20.777592	12.915581	10.982557	9.602935
mRNA_D-herbacea_M_contig2.4891.1	nbisL1-mrna-9663	35.520578	40.61945	34.383361	10.023267	11.938586	18.093343
mRNA_D-herbacea_M_contig2.4890.1	nbisL1-mrna-9664	35.208823	28.213605	25.989132	11.912625	16.162502	15.572367
mRNA_D-herbacea_M_contig2.4889.1	nbisL1-mrna-9665	46.611307	43.571833	46.639662	51.962736	50.860437	50.373691
mRNA_D-herbacea_M_contig2.4888.1	nbisL1-mrna-9666	58.253913	58.261361	58.848817	42.262698	43.630663	42.155324
mRNA_D-herbacea_M_contig2.4887.1	nbisL1-mrna-9667	23.667582	20.793211	17.889462	25.812704	24.70143	21.446017
mRNA_D-herbacea_M_contig2.4886.1	nbisL1-mrna-9668	69.85165	71.50361	72.954812	58.278621	55.976888	54.76068
mRNA_D-herbacea_M_contig2.4885.1	nbisL1-mrna-9669	0.464813	0.587953	0.729172	5.336547	5.39816	4.222787
mRNA_D-herbacea_M_contig2.4884.1	nbisL1-mrna-9670	0.373901	1.657937	1.375334	0.771021	2.755058	2.171201
mRNA_D-herbacea_M_contig2.4883.1	nbisL1-mrna-9671	3.488708	6.483169	4.942535	3.241036	2.900304	3.187251
mRNA_D-herbacea_M_contig2.4882.1	nbisL1-mrna-9672	6.944668	6.332401	7.084616	3.479183	3.841339	3.807153
mRNA_D-herbacea_M_contig2.4881.1	nbisL1-mrna-9673	6.638502	8.961305	6.962311	6.505816	7.819882	6.175278
mRNA_D-herbacea_M_contig2.4880.1	nbisL1-mrna-9674	27.842594	33.441077	27.092288	22.844435	24.028991	21.63712
mRNA_D-herbacea_M_contig2.4879.1	nbisL1-mrna-9675	16.907308	17.895839	20.435655	12.248324	10.980663	11.655523
mRNA_D-herbacea_M_contig2.4878.1	nbisL1-mrna-9676	14.920507	21.573182	19.226567	13.947158	16.644342	13.593513
mRNA_D-herbacea_M_contig2.4877.1	nbisL1-mrna-9677	0.155539	0	0.285297	0	0	0
mRNA_D-herbacea_M_contig2.4876.1	nbisL1-mrna-9678	14.73238	22.427433	16.326783	17.130052	16.799886	17.572488
mRNA_D-herbacea_M_contig2.4875.1	nbisL1-mrna-9679	0	0	0	0	0	0
mRNA_D-herbacea_M_contig2.4874.1	nbisL1-mrna-9680	0.177835	0	0.325422	0.244237	0.137479	0.11078
mRNA_D-herbacea_M_contig2.4873.1	nbisL1-mrna-9681	0	0	0	0	0	0
mRNA_D-herbacea_M_contig2.4872.1	nbisL1-mrna-9682	6.922209	8.996449	7.834929	7.125374	5.299941	4.51896
mRNA_D-herbacea_M_contig2.4870.1	nbisL1-mrna-9683	1.489087	2.814982	2.880443	27.209995	34.658738	29.147288
mRNA_D-herbacea_M_contig2.4871.1	nbisL1-mrna-9684	0	0	0	0	0	0
mRNA_D-herbacea_M_contig2.4869.1	nbisL1-mrna-9685	1.368522	1.233645	1.112797	1.252558	0.821368	1.513989
mRNA_D-herbacea_M_contig2.4868.1	nbisL1-mrna-9686	0.248524	0.595214	0.492252	0.383364	0.285855	0.346717
mRNA_D-herbacea_M_contig2.4867.1	nbisL1-mrna-9687	0.081146	0.358852	0.049461	0	0.186918	0.20141
mRNA_D-herbacea_M_contig2.4866.1	nbisL1-mrna-9688	18.705047	35.578647	17.569818	15.182396	11.819471	7.598981
mRNA_D-herbacea_M_contig2.4865.1	nbisL1-mrna-9689	7.099338	9.025202	10.299093	3.947429	2.921964	3.651795
mRNA_D-herbacea_M_contig2.4864.1	nbisL1-mrna-9690	8.819586	10.135165	7.849272	4.914228	6.522815	5.744703
mRNA_D-herbacea_M_contig2.4863.1	nbisL1-mrna-9691	0.180637	0	0	0.373976	0	0
mRNA_D-herbacea_M_contig2.4862.1	nbisL1-mrna-9692	16.364792	19.611788	18.668455	28.028925	33.174105	29.709381
mRNA_D-herbacea_M_contig2.4861.1	nbisL1-mrna-9693	11.995731	14.283212	14.28458	8.211569	8.923825	7.949788
mRNA_D-herbacea_M_contig2.4860.1	nbisL1-mrna-9694	9.187194	18.357127	14.219693	25.097622	31.978487	19.438766
mRNA_D-herbacea_M_contig2.4859.1	nbisL1-mrna-9695	232.233769	310.498905	238.189991	125.184294	173.999663	171.138749
mRNA_D-herbacea_M_contig2.4858.1	nbisL1-mrna-9696	6.159227	7.461562	4.111716	4.251221	3.559599	2.48097
mRNA_D-herbacea_M_contig2.4857.1	nbisL1-mrna-9697	3.612397	3.737393	4.8542	2.735705	2.546396	1.813684
mRNA_D-herbacea_M_contig2.4856.1	nbisL1-mrna-9698	0.10123	0.671955	0.27781	1.042335	0.703034	1.039403
mRNA_D-herbacea_M_contig2.4855.1	nbisL1-mrna-9699	26.844513	31.41181	23.997478	57.630304	64.157239	52.681188
mRNA_D-herbacea_M_contig2.4854.1	nbisL1-mrna-9700	24.989294	52.375095	38.676937	27.539842	46.653064	29.598979
mRNA_D-herbacea_M_contig2.4853.1	nbisL1-mrna-9701	0.737289	1.634969	0	0.760365	0	1.426587
mRNA_D-herbacea_M_contig2.4852.1	nbisL1-mrna-9702	37.170679	62.261134	50.063848	40.18401	52.658534	41.208859
mRNA_D-herbacea_M_contig2.4851.1	nbisL1-mrna-9703	0.173159	0.574586	0.316752	0	0	0.080744
mRNA_D-herbacea_M_contig2.4850.1	nbisL1-mrna-9704	2.447289	3.35834	1.49467	23.825046	27.906867	30.922373
