gene_id	gene_name	Undaria_pinnatifida_female_PHAEO216_RNAseq__rep1	Undaria_pinnatifida_female_PHAEO216_RNAseq__rep2	Undaria_pinnatifida_female_PHAEO216_RNAseq__rep3	Undaria_pinnatifida_male_PHAEO216_RNAseq__rep1	Undaria_pinnatifida_male_PHAEO216_RNAseq__rep2	Undaria_pinnatifida_male_PHAEO216_RNAseq__rep3
XLOC_002775	XLOC_002775	25.027719	37.304656	30.442183	21.110276	19.585619	23.311572
XLOC_002776	XLOC_002776	6.154436	20.650553	14.500257	9.582931	9.241314	9.034909
XLOC_002777	XLOC_002777	46.041629	53.69146	48.823089	48.691503	52.379776	53.04948
XLOC_002778	XLOC_002778	20.350061	41.749189	30.020557	164.612335	172.975398	138.072398
XLOC_002779	XLOC_002779	1.691578	2.447591	1.59349	4.33718	7.835641	6.093978
XLOC_002780	XLOC_002780	2.347009	5.788892	4.055372	7.386658	5.704115	5.507888
XLOC_002781	XLOC_002781	244.411232	500.627482	383.70085	606.06884	652.207631	581.123159
XLOC_002782	XLOC_002782	0	0	0	0	2.197578	0
XLOC_002784	XLOC_002784	71.976945	122.713961	101.577639	129.93546	140.070684	100.366902
XLOC_002785	XLOC_002785	0.445438	3.959745	3.155208	3.62261	5.558193	3.252923
XLOC_002786	XLOC_002786	7.402884	32.418222	26.481885	37.209331	35.811722	38.791449
XLOC_002787	XLOC_002787	0	0	0	0	0	1.125617
XLOC_002788	XLOC_002788	4.23867	17.188996	14.92947	28.284918	25.899986	36.914601
